sha256,authority_name,tier,temporal_period,field_name,field_value
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,FileName,tmphlg4a3wc.pdf
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,FileSize,111 kB
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,PDFVersion,1.7
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,Linearized,No
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,PageCount,8
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,Language,sv
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,TaggedPDF,Yes
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,XMPToolkit,3.1-701
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,Producer,Microsoft® PowerPoint® för Microsoft 365
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,Creator,Fredrik Storm
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,CreatorTool,Microsoft® PowerPoint® för Microsoft 365
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,CreateDate,2026:04:23 08:21:32+02:00
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,ModifyDate,2026:04:23 08:21:32+02:00
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,DocumentID,uuid:17FCD203-41B3-4811-AF89-E76F948E3EDA
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,InstanceID,uuid:17FCD203-41B3-4811-AF89-E76F948E3EDA
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,Part,3
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,Conformance,A
2a06088daddcbd2bcb91ab0c00519123a20e0f6a76db1d362ab9f8561efc582e,Regeringskansliet,1,post-2026,Author,Fredrik Storm
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,FileName,tmp8jadaz_y.pdf
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,FileSize,705 kB
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,PDFVersion,1.7
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Linearized,No
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Author,"Finansdepartementet, Regeringskansliet"
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,CreateDate,2026:04:23 11:21:04+02:00
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,ModifyDate,2026:04:23 11:40:24+02:00
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Subject,Presentationsbilder
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,HasXFA,No
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Language,sv
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,TaggedPDF,Yes
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,XMPToolkit,"Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        "
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Producer,Microsoft® PowerPoint® för Microsoft 365
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Format,application/pdf
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Title,"Ekonomiska konsekvenser av kriget i Iran. Statsminister Ulf Kristersson, finansminister Elisabeth Svantesson. 2026-04-23"
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Creator,"Finansdepartementet, Regeringskansliet"
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Description,Presentationsbilder
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,CreatorTool,Microsoft® PowerPoint® för Microsoft 365
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,MetadataDate,2026:04:23 11:40:24+02:00
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,DocumentID,uuid:CFD71F6E-E5D1-4302-BD56-70FF1AEEA2DB
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,InstanceID,uuid:023132ba-5ba5-449e-b92e-81f767c25a45
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Part,3
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,Conformance,A
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,PageLayout,OneColumn
ec696b49e30ae9f3c94dfcf10fc25dad0d4d7393c6ee94c1ecf8860e947baf17,Regeringskansliet,1,post-2026,PageCount,11
